,Area_m2,Idade_Casa_Anos,Preco_Venda,Garagem_Nao,Garagem_Sim,Localizacao_A,Localizacao_B,Localizacao_C,Total_Comodos
0,0.33333333333333337,0.2,0.35294117647058826,0,1,1,0,0,0.4285714285714285
1,0.12121212121212122,0.4,0.0980392156862745,1,0,0,1,0,0.14285714285714285
2,0.8181818181818182,0.08,0.7450980392156863,0,1,1,0,0,0.7142857142857143
3,0.5151515151515151,0.32,0.45098039215686275,0,1,0,0,1,0.4285714285714285
4,0.18181818181818188,0.6,0.21568627450980388,0,1,0,1,0,0.2857142857142857
5,0.6969696969696969,0.12,0.607843137254902,1,0,1,0,0,0.5714285714285714
6,0.2727272727272727,0.48,0.25490196078431376,1,0,0,0,1,0.2857142857142857
7,0.9393939393939393,0.04,0.9411764705882353,0,1,1,0,0,0.9999999999999999
8,0.03030303030303033,0.8,0.019607843137254888,1,0,0,1,0,0.0
9,0.5757575757575758,0.28,0.49019607843137253,0,1,0,0,1,0.5714285714285714
10,0.3939393939393939,0.24,0.39215686274509803,0,1,1,0,0,0.4285714285714285
11,0.21212121212121215,0.56,0.1568627450980392,1,0,0,1,0,0.14285714285714285
12,0.7575757575757577,0.16,0.6862745098039216,0,1,1,0,0,0.7142857142857143
13,0.4545454545454546,0.36,0.411764705882353,1,0,0,0,1,0.4285714285714285
14,0.24242424242424243,0.72,0.23529411764705882,0,1,0,1,0,0.2857142857142857
15,0.6363636363636364,0.08,0.6470588235294117,0,1,1,0,0,0.5714285714285714
16,0.3030303030303031,0.44,0.29411764705882354,1,0,0,0,1,0.2857142857142857
17,0.8787878787878788,0.0,0.8823529411764706,0,1,1,0,0,0.8571428571428571
18,0.06060606060606061,0.88,0.03921568627450983,1,0,0,1,0,0.0
19,0.5454545454545455,0.24,0.4705882352941177,0,1,0,0,1,0.5714285714285714
20,0.36363636363636365,0.28,0.3725490196078431,1,0,1,0,0,0.4285714285714285
21,0.1515151515151515,0.64,0.19607843137254904,0,1,0,1,0,0.14285714285714285
22,0.8484848484848485,0.12,0.7254901960784315,0,1,1,0,0,0.7142857142857143
23,0.48484848484848486,0.4,0.4313725490196078,0,1,0,0,1,0.4285714285714285
24,0.09090909090909094,0.68,0.11764705882352944,1,0,0,1,0,0.14285714285714285
25,0.6060606060606061,0.2,0.588235294117647,1,0,1,0,0,0.5714285714285714
26,0.4242424242424243,0.52,0.2745098039215686,1,0,0,0,1,0.2857142857142857
27,1.0,0.04,1.0,0,1,1,0,0,0.9999999999999999
28,0.0,1.0,0.0,1,0,0,1,0,0.0
29,0.6666666666666666,0.16,0.5098039215686274,0,1,0,0,1,0.5714285714285714
